x,y
0.947468,0.427589
0.937954,0.410526
0.963138,0.298215
0.960946,0.224689
0.937188,0.343358
0.905964,0.430585
0.967383,0.492922
0.975182,0.518025
0.985865,0.320794
0.988367,0.3836
0.990342,0.458385
0.989838,0.493374
0.937286,0.463828
0.968161,0.656052
0.97842,0.839351
0.979473,0.869615
0.950971,0.451298
0.97077,0.648716
0.98117,0.825526
0.97967,0.855299
0.945295,0.439515
0.935915,0.416283
0.964043,0.294378
0.964745,0.220995
0.942306,0.340412
0.911029,0.427161
0.974117,0.486366
0.981131,0.508447
0.986755,0.317011
0.987735,0.375038
0.98927,0.453413
0.990154,0.487237
0.93483,0.476258
0.975255,0.680049
0.993541,0.802944
1.01098,0.818524
0.948614,0.46131
0.977086,0.668133
0.992812,0.794412
1.00967,0.814257
0.945194,0.441403
0.935676,0.417274
0.964929,0.292927
0.965573,0.219734
0.944378,0.339494
0.915302,0.417422
0.961288,0.489932
0.979364,0.503636
0.987287,0.315943
0.987838,0.373299
0.988784,0.453674
0.992715,0.482459
0.934396,0.47732
0.977137,0.686242
0.997909,0.790778
1.02256,0.797924
0.949584,0.460898
0.981306,0.665161
0.999617,0.778555
1.02635,0.792735
0.947696,0.44733
0.937963,0.421425
0.968153,0.290088
0.971268,0.214876
0.949083,0.339066
0.920918,0.414842
0.969203,0.487849
0.982178,0.502722
0.98908,0.314241
0.988939,0.372376
0.988158,0.455979
0.994674,0.474735
0.934218,0.48007
0.97908,0.691307
1.00241,0.782605
1.03202,0.785464
0.956707,0.463347
0.984172,0.668343
1.00326,0.770104
1.03522,0.78095
0.952101,0.456081
0.941593,0.427518
0.971264,0.287827
0.976536,0.211348
0.955138,0.340646
0.926873,0.412797
0.976234,0.486479
0.98528,0.502354
0.991132,0.312678
0.989841,0.370928
0.987825,0.456114
0.994546,0.476721
0.934737,0.486883
0.981621,0.696606
1.00741,0.776855
1.04043,0.7766
0.966499,0.470298
0.9876,0.669147
1.00615,0.76342
1.04201,0.772487
0.957279,0.463864
0.945806,0.440541
0.965741,0.35314
0.9751,0.278599
0.952636,0.39138
0.965231,0.464449
0.998937,0.512256
1.01289,0.533655
0.99008,0.353728
0.981868,0.450764
0.978375,0.510276
0.987898,0.513566
0.936787,0.492949
0.986876,0.693622
1.01737,0.769688
1.05247,0.769692
