0/500000, loss = 107.877, regloss = 1.07877, valid_loss = 106.147, time = 4.560, learning_rate=0.0001000000
20/500000, loss = 102.701, regloss = 20.11337, valid_loss = 100.362, time = 2.161, learning_rate=0.0001000000
40/500000, loss = 93.653, regloss = 34.31332, valid_loss = 91.639, time = 1.992, learning_rate=0.0001000000
60/500000, loss = 81.237, regloss = 43.93302, valid_loss = 78.729, time = 1.992, learning_rate=0.0001000000
80/500000, loss = 68.028, regloss = 49.39619, valid_loss = 65.325, time = 1.982, learning_rate=0.0001000000
100/500000, loss = 58.916, regloss = 51.81954, valid_loss = 55.979, time = 2.003, learning_rate=0.0001000000
120/500000, loss = 52.342, regloss = 52.42888, valid_loss = 49.467, time = 1.994, learning_rate=0.0001000000
140/500000, loss = 47.336, regloss = 51.91374, valid_loss = 44.450, time = 1.959, learning_rate=0.0001000000
160/500000, loss = 42.183, regloss = 50.60097, valid_loss = 39.167, time = 1.993, learning_rate=0.0001000000
180/500000, loss = 36.725, regloss = 48.51030, valid_loss = 33.000, time = 1.985, learning_rate=0.0001000000
200/500000, loss = 29.807, regloss = 45.67709, valid_loss = 27.452, time = 1.980, learning_rate=0.0001000000
220/500000, loss = 24.470, regloss = 42.32742, valid_loss = 20.445, time = 1.984, learning_rate=0.0001000000
240/500000, loss = 18.758, regloss = 38.48810, valid_loss = 14.181, time = 2.015, learning_rate=0.0001000000
260/500000, loss = 13.068, regloss = 34.38196, valid_loss = 8.913, time = 2.006, learning_rate=0.0001000000
280/500000, loss = 8.629, regloss = 30.01096, valid_loss = 3.986, time = 1.982, learning_rate=0.0001000000
300/500000, loss = 3.068, regloss = 25.54170, valid_loss = 0.419, time = 2.000, learning_rate=0.0001000000
320/500000, loss = -0.194, regloss = 21.15758, valid_loss = -6.160, time = 1.989, learning_rate=0.0001000000
340/500000, loss = -4.699, regloss = 16.80093, valid_loss = -10.208, time = 1.991, learning_rate=0.0001000000
360/500000, loss = -8.523, regloss = 12.49903, valid_loss = -12.784, time = 2.003, learning_rate=0.0001000000
380/500000, loss = -12.268, regloss = 8.36416, valid_loss = -16.516, time = 1.986, learning_rate=0.0001000000
